,game_id,passer_player_name,posteam,defteam,season,week,passing_yards,home_flag_passer,pass_attempts,roof,surface,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,pass_touchdown_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,pass_touchdown_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense
693,2015_05_JAX_TB,B.Bortles,JAX,TB,2015,5,303.0,False,32.0,outdoors,grass,0.5610195100307465,43.675,399.45,102.75,2.4848742961883543,0.275,4.8999999999999995,1.25,1.3,280.65000000000003,-4.273590236902237,True,0.5499205708503723,26.55,259.05,74.5,-0.6635889932513236,0.30000000000000004,4.025,1.925,1.7499999999999998,159.35,-4.3156221270561215
694,2015_06_HOU_JAX,B.Bortles,JAX,HOU,2015,6,331.0,True,50.0,outdoors,grass,0.6666076892663625,35.8595041322314,360.32231404958685,109.6115702479339,6.729728320413384,0.7603305785123967,6.305785123966943,4.429752066115703,3.107438016528926,295.6115702479339,5.713334530838264,False,0.6265616138611944,29.206611570247937,233.38842975206614,86.82644628099173,9.120994914661756,0.0991735537190083,3.0247933884297526,0.5123966942148761,1.7107438016528929,225.96694214876032,-1.350528999793628
695,2015_07_BUF_JAX,B.Bortles,JAX,BUF,2015,7,182.0,True,28.0,outdoors,grass,0.6221415829527509,45.299450549450555,445.5576923076924,109.87087912087912,-0.11867750215006366,2.2554945054945055,7.436813186813186,3.4752747252747254,3.0357142857142856,319.23626373626377,-1.355713964163602,False,0.6602353799146611,33.20329670329671,273.4175824175824,104.19780219780222,9.676138259224839,0.3763736263736265,2.6291208791208796,0.5906593406593408,2.3049450549450547,231.41208791208794,0.16910535080747258
696,2015_09_JAX_NYJ,B.Bortles,JAX,NYJ,2015,9,381.0,False,38.0,outdoors,fieldturf,0.516856187189378,33.7612076852699,396.49679780420865,61.26806953339433,-0.4964597299354182,1.4181152790484908,5.144556267154621,2.491308325709058,2.344922232387923,227.70356816102472,-8.964612191899151,True,0.6277329898273192,40.51875571820677,290.05489478499544,169.2214089661482,11.672400076675066,0.2067703568161025,5.21408966148216,0.8261665141811529,3.2479414455626716,322.31198536139067,-2.8571903141452326
697,2015_10_JAX_BAL,B.Bortles,JAX,BAL,2015,10,188.0,False,44.0,outdoors,sportturf,0.5933496693921526,36.587500000000006,452.8408536585366,98.4283536585366,-0.05968788266181943,1.80609756097561,9.715548780487806,4.8307926829268295,2.114939024390244,329.91676829268295,-0.1373656254716036,True,0.7417950416846975,34.0609756097561,224.51524390243907,178.27560975609757,14.542070445781802,0.003963414634146344,6.169817073170732,1.4728658536585368,2.661585365853659,300.7384146341464,11.466204038371401
698,2015_11_TEN_JAX,B.Bortles,JAX,TEN,2015,11,242.0,True,29.0,outdoors,grass,0.5311133945337121,41.52941774209938,357.60877959556956,97.4760695051316,-3.992319994832355,1.2686718829387258,7.90509094604207,3.6102022152220306,2.038309114927345,235.3007824408089,-9.401751495354933,False,0.7967353409328254,28.898994004674325,298.5039122040443,65.08383294380653,8.204791127127272,0.2901127934153033,6.313077939233818,4.4758662737526675,1.5280967381363684,257.0955187480947,16.308973111438625
700,2015_12_SD_JAX,B.Bortles,JAX,LAC,2015,12,329.0,True,48.0,outdoors,grass,0.6597985789793533,33.17633112044439,281.20163257011245,97.15868446010026,-0.048301560242249554,1.089554260940252,6.635008806394798,3.8700718059883488,1.3460913155398997,239.76700311610895,0.8682763230152974,False,0.7633569217191739,29.192622950819676,223.90356997696787,143.46098089689744,5.635288433021784,0.2253420945671319,4.166813439913291,2.5057918981167866,0.6140089418777944,279.15170708576073,11.35703494840401
701,2015_13_JAX_TEN,B.Bortles,JAX,TEN,2015,13,322.0,False,36.0,outdoors,grass,0.6365993953663807,43.05883282715952,328.4008106307791,163.05326679687943,0.6395398323271559,1.029851083287232,3.544985492192881,2.6233502308830006,1.7820328994163008,299.2560035225182,-2.0203082024295402,True,0.6651335738509883,35.21103496550868,348.278493446084,90.12056721574297,10.35246040811439,0.2544567757668815,4.034773576597836,2.0528603524776177,2.3920156255292246,302.34420195770724,5.062768848020442
702,2015_14_IND_JAX,B.Bortles,JAX,IND,2015,14,250.0,True,30.0,outdoors,grass,0.6566442938633942,38.35293542074364,310.80023709167546,143.6843858196598,11.968063728173291,0.3432824025289779,2.5149932259521304,2.2077826283305737,3.9273483365949122,314.4186963721211,2.930851177673606,False,0.6021566152623102,38.25474559686889,495.00636760499776,105.02221511365347,12.929697837741367,0.5064052385970195,4.070344723769383,1.2341750715038386,3.1832530483215415,328.04193888303473,4.852087205176914
703,2015_15_ATL_JAX,B.Bortles,JAX,ATL,2015,15,297.0,True,36.0,outdoors,grass,0.574436953824483,32.78430831412977,287.6000644788192,145.22812957482867,4.977815023901613,0.1144273239659241,3.5049983629404853,2.73592787404301,3.309115724427061,271.4728718539919,-5.139658520789765,False,0.7043859985871362,26.84313457381884,271.37953939041176,104.75229721474082,12.719992408578841,0.3642200258166168,4.908230583282424,1.6118111648713374,2.292208223934688,271.57310881992476,13.90965805736038
704,2015_16_JAX_NO,B.Bortles,JAX,NO,2015,16,368.0,False,33.0,dome,sportturf,0.6174049239327809,34.928103219590845,336.5333650570106,111.0760360512552,-2.0270055899692796,0.7048092314228319,2.5016659112082706,2.2453091887714907,1.7697049196231294,288.4909608427236,-2.722687557051775,True,0.796989018044124,27.529931205895586,159.58835058064366,146.56675980269992,13.174842211950006,0.0994428564021336,3.722768791260991,2.3501917637751286,2.6925653694526077,243.509761721174,8.953528522832068
705,2015_17_JAX_HOU,B.Bortles,JAX,HOU,2015,17,239.0,False,30.0,closed,fieldturf,0.7512561924813949,33.64270098361506,304.17778609742095,171.69201624151697,8.685589769690015,1.5682698039836624,2.8338886602225983,2.08176971819315,3.2565684101631165,341.4969906416559,5.404058759629938,True,0.5633755448551354,43.46558392674675,352.8633487458905,83.44887826291426,-10.432056602260513,0.9039289824604051,7.584837060051826,1.6112468783334426,1.1143915780060167,216.25270414343785,-6.926472057433232
707,2016_02_JAX_SD,B.Bortles,JAX,LAC,2016,2,329.0,False,48.0,outdoors,grass,0.6315789222717285,38.0,370.0,151.0,4.335432529449463,1.0,4.0,3.0,1.0,320.0,-2.000103235244751,True,0.7234042286872864,47.0,311.0,171.0,6.229739665985107,1.0,6.0,3.0,2.0,363.0,8.195342063903809
